Timestamp;Frame;Sts;Lat;Lon;Altitude;Pressure;Temperature;Acceleration X;Acceleration Y;Acceleration Z; Annex 0;Annex 1;
[14:01:01.643] ;33 65 20 37 31 20 33 63 20 30 30 20 65 66 20 38 64 20 63 32 20 31 39 20 62 34 20;32;1664294961;540028960;26213;924869939;14368;8292;12899;12576;8249;13410
[14:01:03.644] ;65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 62 20 31 30 20 66 62 20 66 66 20;32;1717968952;540172832;12592;1713386085;13088;8290;12337;26144;8290;26214
[14:01:05.645] ;66 63 20 30 37 20 61 66 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30 20 34 38 0d;13;1717641271;540094496;14693;807428966;26144;8294;12336;12320;8240;14388
[14:01:07.646] ;0a 32 39 20 37 31 20 33 63 20 30 30 20 66 30 20 38 64 20 63 32 20 31 39 20 62 36;54;857747767;808460387;26144;540619274;8240;25656;25376;8242;14641;25120
[14:01:09.646] ;20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 36 20 31 30 20 66 37 20 66 66;102;1713387622;845291622;12320;540173600;8241;13875;12576;8240;14182;26144
[14:01:11.648] ;20 66 38 20 30 37 20 62 33 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30 20 34 38;56;1646278448;825237555;25888;540567072;8249;26214;12320;8240;12336;13344
[14:01:13.648] ;0d 0a 33 38 20 37 31 20 33 63 20 30 30 20 66 30 20 38 64 20 63 32 20 31 39 20 62;98;540096288;807428915;8240;942869005;12390;14368;8292;12899;12576;8249
[14:01:15.649] ;37 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 35 20 31 30 20 66 37 20 66;102;540567072;1646290534;8242;845488183;12592;13088;8245;12337;26144;8247
[14:01:17.650] ;66 20 66 63 20 30 37 20 62 31 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30 20 34;52;540487712;807416162;8241;1667637350;14693;26144;8294;12336;12320;8240
[14:01:19.651] ;38 0d 0a 64 32 20 37 30 20 33 63 20 30 30 20 66 32 20 38 64 20 63 32 20 31 39 20;32;808919090;543372064;12336;1678380344;26144;8242;25656;25376;8242;14641
[14:01:21.651] ;62 38 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38 20 31 30 20 66 37 20;32;946217010;543581728;12898;1696610402;12320;8241;14387;12576;8240;14182
[14:01:23.652] ;66 66 20 66 33 20 30 37 20 61 61 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30 20;32;925900851;543252768;12592;1713399398;25888;8249;26214;12320;8240;12336
[14:01:25.652] ;34 38 0d 0a 65 31 20 37 30 20 33 63 20 30 30 20 66 32 20 38 64 20 63 32 20 31 39;57;924856677;1664294960;12320;168638516;8240;12902;14368;8292;12899;12576
[14:01:27.654] ;20 62 61 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38 20 31 30 20 66 39;57;1713386085;1717968952;25120;543253024;8242;12592;13088;8248;12337;26144
[14:01:29.654] ;20 66 66 20 66 63 20 30 37 20 61 66 20 30 31 20 65 39 20 66 66 20 30 30 20 30 30;48;807428966;1717641271;12320;543581728;8241;14693;26144;8294;12336;12320
[14:01:31.656] ;20 34 38 0d 0a 30 39 20 37 31 20 33 63 20 30 30 20 66 34 20 38 64 20 63 32 20 31;49;540618762;857747767;8291;221787168;12336;26144;8244;25656;25376;8242
[14:01:33.656] ;39 20 62 63 20 65 32 20 66 38 20 66 66 20 62 32 20 30 31 20 33 38 20 31 30 20 66;102;540173600;1713387622;8294;1667375161;12898;12320;8241;14387;12576;8240
